product_id,material_id,qty_per_1000_units
SKU-001,MAT-API-001,10.25
SKU-001,MAT-EXC-04,195.5
SKU-001,MAT-EXC-03,250.8
SKU-001,MAT-PKG-01,1010.0
SKU-002,MAT-API-002,20.72
SKU-002,MAT-EXC-04,363.0
SKU-002,MAT-EXC-02,327.4
SKU-002,MAT-PKG-01,1023.0
SKU-003,MAT-API-003,17.76
SKU-003,MAT-EXC-04,256.3
SKU-003,MAT-EXC-05,248.7
SKU-003,MAT-PKG-01,1043.0
SKU-004,MAT-API-004,18.7
SKU-004,MAT-EXC-03,190.1
SKU-004,MAT-EXC-04,260.9
SKU-004,MAT-PKG-01,1001.0
SKU-005,MAT-API-005,17.11
SKU-005,MAT-EXC-01,186.4
SKU-005,MAT-EXC-03,168.7
SKU-005,MAT-PKG-01,1008.0
SKU-006,MAT-API-006,15.1
SKU-006,MAT-EXC-04,212.8
SKU-006,MAT-EXC-03,305.9
SKU-006,MAT-PKG-01,1030.0
SKU-007,MAT-API-007,11.65
SKU-007,MAT-EXC-03,273.7
SKU-007,MAT-EXC-02,353.7
SKU-007,MAT-PKG-01,1034.0
SKU-008,MAT-API-008,19.09
SKU-008,MAT-PKG-03,1044.0
SKU-009,MAT-API-009,8.73
SKU-009,MAT-EXC-04,373.8
SKU-009,MAT-EXC-03,287.6
SKU-009,MAT-PKG-01,1001.0
SKU-010,MAT-API-010,23.97
SKU-010,MAT-EXC-03,195.3
SKU-010,MAT-EXC-04,155.4
SKU-010,MAT-PKG-01,1047.0
SKU-011,MAT-API-011,22.19
SKU-011,MAT-EXC-04,190.3
SKU-011,MAT-EXC-02,327.3
SKU-011,MAT-PKG-01,1007.0
SKU-012,MAT-API-012,17.71
SKU-012,MAT-EXC-01,311.0
SKU-012,MAT-EXC-02,225.1
SKU-012,MAT-PKG-01,1015.0
SKU-013,MAT-API-013,11.2
SKU-013,MAT-EXC-03,260.3
SKU-013,MAT-EXC-05,166.0
SKU-013,MAT-PKG-01,1025.0
SKU-014,MAT-API-014,19.07
SKU-014,MAT-EXC-05,346.7
SKU-014,MAT-EXC-03,317.5
SKU-014,MAT-PKG-01,1046.0
SKU-015,MAT-API-015,13.69
SKU-015,MAT-EXC-03,152.9
SKU-015,MAT-EXC-02,287.9
SKU-015,MAT-PKG-01,1030.0
SKU-016,MAT-API-016,14.7
SKU-016,MAT-EXC-02,352.1
SKU-016,MAT-EXC-05,378.1
SKU-016,MAT-PKG-01,1022.0
SKU-017,MAT-API-017,8.71
SKU-017,MAT-PKG-03,1029.0
SKU-018,MAT-API-018,19.09
SKU-018,MAT-EXC-01,368.2
SKU-018,MAT-EXC-02,263.0
SKU-018,MAT-PKG-01,1034.0
SKU-019,MAT-API-019,11.48
SKU-019,MAT-PKG-04,1033.0
SKU-020,MAT-API-020,21.32
SKU-020,MAT-EXC-01,159.4
SKU-020,MAT-EXC-03,260.6
SKU-020,MAT-PKG-01,1016.0
SKU-021,MAT-API-021,23.38
SKU-021,MAT-EXC-04,155.0
SKU-021,MAT-EXC-02,224.9
SKU-021,MAT-PKG-01,1023.0
SKU-022,MAT-API-022,12.55
SKU-022,MAT-EXC-04,196.8
SKU-022,MAT-EXC-03,198.3
SKU-022,MAT-PKG-01,1041.0
SKU-023,MAT-API-023,10.05
SKU-023,MAT-PKG-02,1031.0
SKU-024,MAT-API-024,16.56
SKU-024,MAT-EXC-05,357.9
SKU-024,MAT-EXC-02,317.4
SKU-024,MAT-PKG-01,1042.0
SKU-025,MAT-API-025,13.37
SKU-025,MAT-EXC-04,332.2
SKU-025,MAT-EXC-03,342.5
SKU-025,MAT-PKG-01,1018.0
SKU-026,MAT-API-026,18.25
SKU-026,MAT-EXC-03,174.8
SKU-026,MAT-EXC-05,378.3
SKU-026,MAT-PKG-01,1014.0
SKU-027,MAT-API-027,20.8
SKU-027,MAT-EXC-04,288.5
SKU-027,MAT-EXC-01,162.5
SKU-027,MAT-PKG-01,1020.0
SKU-028,MAT-API-028,18.82
SKU-028,MAT-EXC-04,234.0
SKU-028,MAT-EXC-02,387.6
SKU-028,MAT-PKG-01,1021.0
SKU-029,MAT-API-029,11.15
SKU-029,MAT-EXC-03,330.2
SKU-029,MAT-EXC-05,208.1
SKU-029,MAT-PKG-01,1015.0
SKU-030,MAT-API-030,20.62
SKU-030,MAT-EXC-05,221.2
SKU-030,MAT-EXC-04,274.2
SKU-030,MAT-PKG-01,1008.0
SKU-031,MAT-API-031,22.58
SKU-031,MAT-EXC-03,233.0
SKU-031,MAT-EXC-05,367.3
SKU-031,MAT-PKG-01,1039.0
SKU-032,MAT-API-032,16.48
SKU-032,MAT-EXC-02,165.8
SKU-032,MAT-EXC-03,293.9
SKU-032,MAT-PKG-01,1003.0
SKU-033,MAT-API-033,17.73
SKU-033,MAT-EXC-01,369.5
SKU-033,MAT-EXC-03,361.8
SKU-033,MAT-PKG-01,1042.0
SKU-034,MAT-API-034,19.54
SKU-034,MAT-EXC-04,205.0
SKU-034,MAT-EXC-03,332.6
SKU-034,MAT-PKG-01,1036.0
SKU-035,MAT-API-035,17.27
SKU-035,MAT-EXC-01,151.8
SKU-035,MAT-EXC-03,197.7
SKU-035,MAT-PKG-01,1018.0
SKU-036,MAT-API-036,23.22
SKU-036,MAT-EXC-03,239.9
SKU-036,MAT-EXC-02,234.7
SKU-036,MAT-PKG-01,1018.0
SKU-037,MAT-API-037,23.83
SKU-037,MAT-EXC-01,366.1
SKU-037,MAT-EXC-02,369.5
SKU-037,MAT-PKG-01,1002.0
SKU-038,MAT-API-038,13.54
SKU-038,MAT-PKG-04,1002.0
SKU-039,MAT-API-039,13.39
SKU-039,MAT-EXC-01,194.6
SKU-039,MAT-EXC-02,394.0
SKU-039,MAT-PKG-01,1001.0
SKU-040,MAT-API-040,11.95
SKU-040,MAT-EXC-03,298.7
SKU-040,MAT-EXC-04,155.0
SKU-040,MAT-PKG-01,1018.0
SKU-041,MAT-API-041,16.73
SKU-041,MAT-EXC-05,229.5
SKU-041,MAT-EXC-03,282.4
SKU-041,MAT-PKG-01,1023.0
SKU-042,MAT-API-042,17.12
SKU-042,MAT-PKG-03,1008.0
