date,product_id,center_id,units_ordered
2023-01-01,SKU-001,DC-01,262
2023-01-02,SKU-001,DC-01,275
2023-01-03,SKU-001,DC-01,671
2023-01-04,SKU-001,DC-01,495
2023-01-05,SKU-001,DC-01,294
2023-01-06,SKU-001,DC-01,235
2023-01-07,SKU-001,DC-01,119
2023-01-08,SKU-001,DC-01,228
2023-01-09,SKU-001,DC-01,306
2023-01-10,SKU-001,DC-01,440
2023-01-11,SKU-001,DC-01,392
2023-01-12,SKU-001,DC-01,448
2023-01-13,SKU-001,DC-01,676
2023-01-14,SKU-001,DC-01,276
2023-01-15,SKU-001,DC-01,143
2023-01-16,SKU-001,DC-01,285
2023-01-17,SKU-001,DC-01,190
2023-01-18,SKU-001,DC-01,459
2023-01-19,SKU-001,DC-01,511
2023-01-20,SKU-001,DC-01,300
2023-01-21,SKU-001,DC-01,216
2023-01-22,SKU-001,DC-01,181
2023-01-23,SKU-001,DC-01,562
2023-01-24,SKU-001,DC-01,502
2023-01-25,SKU-001,DC-01,339
2023-01-26,SKU-001,DC-01,298
2023-01-27,SKU-001,DC-01,275
2023-01-28,SKU-001,DC-01,143
2023-01-29,SKU-001,DC-01,314
2023-01-30,SKU-001,DC-01,484
2023-01-31,SKU-001,DC-01,371
2023-02-01,SKU-001,DC-01,270
2023-02-02,SKU-001,DC-01,320
2023-02-03,SKU-001,DC-01,457
2023-02-04,SKU-001,DC-01,161
2023-02-05,SKU-001,DC-01,183
2023-02-06,SKU-001,DC-01,466
2023-02-07,SKU-001,DC-01,353
2023-02-08,SKU-001,DC-01,546
2023-02-09,SKU-001,DC-01,305
2023-02-10,SKU-001,DC-01,302
2023-02-11,SKU-001,DC-01,133
2023-02-12,SKU-001,DC-01,218
2023-02-13,SKU-001,DC-01,253
2023-02-14,SKU-001,DC-01,763
2023-02-15,SKU-001,DC-01,319
2023-02-16,SKU-001,DC-01,384
2023-02-17,SKU-001,DC-01,291
2023-02-18,SKU-001,DC-01,151
2023-02-19,SKU-001,DC-01,55
2023-02-20,SKU-001,DC-01,320
2023-02-21,SKU-001,DC-01,172
2023-02-22,SKU-001,DC-01,156
2023-02-23,SKU-001,DC-01,394
2023-02-24,SKU-001,DC-01,293
2023-02-25,SKU-001,DC-01,187
2023-02-26,SKU-001,DC-01,188
2023-02-27,SKU-001,DC-01,221
2023-02-28,SKU-001,DC-01,189
2023-03-01,SKU-001,DC-01,326
2023-03-02,SKU-001,DC-01,483
2023-03-03,SKU-001,DC-01,260
2023-03-04,SKU-001,DC-01,39
2023-03-05,SKU-001,DC-01,166
2023-03-06,SKU-001,DC-01,281
2023-03-07,SKU-001,DC-01,513
2023-03-08,SKU-001,DC-01,658
2023-03-09,SKU-001,DC-01,155
2023-03-10,SKU-001,DC-01,305
2023-03-11,SKU-001,DC-01,132
2023-03-12,SKU-001,DC-01,197
2023-03-13,SKU-001,DC-01,439
2023-03-14,SKU-001,DC-01,496
2023-03-15,SKU-001,DC-01,282
2023-03-16,SKU-001,DC-01,472
2023-03-17,SKU-001,DC-01,322
2023-03-18,SKU-001,DC-01,290
2023-03-19,SKU-001,DC-01,155
