date,product_id,center_id,units_demanded,units_sold,closing_stock,stockout_units,units_received,units_reordered
2023-01-01,SKU-001,DC-01,262,262,3069,0,0,0
2023-01-02,SKU-001,DC-01,275,275,2794,0,0,0
2023-01-03,SKU-001,DC-01,671,671,2123,0,0,0
2023-01-04,SKU-001,DC-01,495,495,1628,0,0,0
2023-01-05,SKU-001,DC-01,294,294,1334,0,0,0
2023-01-06,SKU-001,DC-01,235,235,1099,0,0,0
2023-01-07,SKU-001,DC-01,119,119,980,0,0,0
2023-01-08,SKU-001,DC-01,228,228,752,0,0,2464
2023-01-09,SKU-001,DC-01,306,306,446,0,0,0
2023-01-10,SKU-001,DC-01,440,440,6,0,0,0
2023-01-11,SKU-001,DC-01,392,392,2078,0,2464,0
2023-01-12,SKU-001,DC-01,448,448,1630,0,0,0
2023-01-13,SKU-001,DC-01,676,676,954,0,0,0
2023-01-14,SKU-001,DC-01,276,276,678,0,0,0
2023-01-15,SKU-001,DC-01,143,143,535,0,0,2681
2023-01-16,SKU-001,DC-01,285,285,250,0,0,0
2023-01-17,SKU-001,DC-01,190,190,60,0,0,0
2023-01-18,SKU-001,DC-01,459,459,2282,0,2681,0
2023-01-19,SKU-001,DC-01,511,511,1771,0,0,0
2023-01-20,SKU-001,DC-01,300,300,1471,0,0,0
2023-01-21,SKU-001,DC-01,216,216,1255,0,0,0
2023-01-22,SKU-001,DC-01,181,181,1074,0,0,2142
2023-01-23,SKU-001,DC-01,562,562,512,0,0,0
2023-01-24,SKU-001,DC-01,502,502,10,0,0,0
2023-01-25,SKU-001,DC-01,339,339,1813,0,2142,0
2023-01-26,SKU-001,DC-01,298,298,1515,0,0,0
2023-01-27,SKU-001,DC-01,275,275,1240,0,0,0
2023-01-28,SKU-001,DC-01,143,143,1097,0,0,0
2023-01-29,SKU-001,DC-01,314,314,783,0,0,2433
2023-01-30,SKU-001,DC-01,484,484,299,0,0,0
2023-01-31,SKU-001,DC-01,371,299,0,72,0,0
2023-02-01,SKU-001,DC-01,270,270,2163,0,2433,0
2023-02-02,SKU-001,DC-01,320,320,1843,0,0,0
2023-02-03,SKU-001,DC-01,457,457,1386,0,0,0
2023-02-04,SKU-001,DC-01,161,161,1225,0,0,0
2023-02-05,SKU-001,DC-01,183,183,1042,0,0,2174
2023-02-06,SKU-001,DC-01,466,466,576,0,0,0
2023-02-07,SKU-001,DC-01,353,353,223,0,0,0
2023-02-08,SKU-001,DC-01,546,546,1851,0,2174,0
2023-02-09,SKU-001,DC-01,305,305,1546,0,0,0
2023-02-10,SKU-001,DC-01,302,302,1244,0,0,0
2023-02-11,SKU-001,DC-01,133,133,1111,0,0,0
2023-02-12,SKU-001,DC-01,218,218,893,0,0,2323
2023-02-13,SKU-001,DC-01,253,253,640,0,0,0
2023-02-14,SKU-001,DC-01,763,640,0,123,0,0
2023-02-15,SKU-001,DC-01,319,319,2004,0,2323,0
2023-02-16,SKU-001,DC-01,384,384,1620,0,0,0
2023-02-17,SKU-001,DC-01,291,291,1329,0,0,0
2023-02-18,SKU-001,DC-01,151,151,1178,0,0,0
2023-02-19,SKU-001,DC-01,55,55,1123,0,0,2093
2023-02-20,SKU-001,DC-01,320,320,803,0,0,0
2023-02-21,SKU-001,DC-01,172,172,631,0,0,0
2023-02-22,SKU-001,DC-01,156,156,2568,0,2093,0
2023-02-23,SKU-001,DC-01,394,394,2174,0,0,0
2023-02-24,SKU-001,DC-01,293,293,1881,0,0,0
2023-02-25,SKU-001,DC-01,187,187,1694,0,0,0
2023-02-26,SKU-001,DC-01,188,188,1506,0,0,0
2023-02-27,SKU-001,DC-01,221,221,1285,0,0,0
2023-02-28,SKU-001,DC-01,189,189,1096,0,0,0
2023-03-01,SKU-001,DC-01,326,326,770,0,0,0
2023-03-02,SKU-001,DC-01,483,483,287,0,0,0
2023-03-03,SKU-001,DC-01,260,260,27,0,0,0
2023-03-04,SKU-001,DC-01,39,27,0,12,0,0
2023-03-05,SKU-001,DC-01,166,0,0,166,0,3216
2023-03-06,SKU-001,DC-01,281,0,0,281,0,0
2023-03-07,SKU-001,DC-01,513,0,0,513,0,0
2023-03-08,SKU-001,DC-01,658,658,2558,0,3216,0
2023-03-09,SKU-001,DC-01,155,155,2403,0,0,0
2023-03-10,SKU-001,DC-01,305,305,2098,0,0,0
2023-03-11,SKU-001,DC-01,132,132,1966,0,0,0
2023-03-12,SKU-001,DC-01,197,197,1769,0,0,0
2023-03-13,SKU-001,DC-01,439,439,1330,0,0,0
2023-03-14,SKU-001,DC-01,496,496,834,0,0,0
2023-03-15,SKU-001,DC-01,282,282,552,0,0,0
2023-03-16,SKU-001,DC-01,472,472,80,0,0,0
2023-03-17,SKU-001,DC-01,322,80,0,242,0,0
2023-03-18,SKU-001,DC-01,290,0,0,290,0,0
2023-03-19,SKU-001,DC-01,155,0,0,155,0,3216
2023-03-20,SKU-001,DC-01,318,0,0,318,0,0
2023-03-21,SKU-001,DC-01,379,0,0,379,0,0
2023-03-22,SKU-001,DC-01,140,140,3076,0,3216,0
2023-03-23,SKU-001,DC-01,268,268,2808,0,0,0
2023-03-24,SKU-001,DC-01,600,600,2208,0,0,0
2023-03-25,SKU-001,DC-01,66,66,2142,0,0,0
2023-03-26,SKU-001,DC-01,145,145,1997,0,0,0
2023-03-27,SKU-001,DC-01,73,73,1924,0,0,0
2023-03-28,SKU-001,DC-01,334,334,1590,0,0,0
2023-03-29,SKU-001,DC-01,411,411,1179,0,0,0
2023-03-30,SKU-001,DC-01,316,316,863,0,0,0
2023-03-31,SKU-001,DC-01,355,355,508,0,0,0
2023-04-01,SKU-001,DC-01,139,139,369,0,0,0
2023-04-02,SKU-001,DC-01,245,245,124,0,0,3092
2023-04-03,SKU-001,DC-01,180,124,0,56,0,0
2023-04-04,SKU-001,DC-01,146,0,0,146,0,0
2023-04-05,SKU-001,DC-01,286,286,2806,0,3092,0
2023-04-06,SKU-001,DC-01,127,127,2679,0,0,0
2023-04-07,SKU-001,DC-01,255,255,2424,0,0,0
2023-04-08,SKU-001,DC-01,102,102,2322,0,0,0
2023-04-09,SKU-001,DC-01,214,214,2108,0,0,0
2023-04-10,SKU-001,DC-01,255,255,1853,0,0,0
2023-04-11,SKU-001,DC-01,118,118,1735,0,0,0
2023-04-12,SKU-001,DC-01,625,625,1110,0,0,0
2023-04-13,SKU-001,DC-01,240,240,870,0,0,0
2023-04-14,SKU-001,DC-01,645,645,225,0,0,0
2023-04-15,SKU-001,DC-01,201,201,24,0,0,0
2023-04-16,SKU-001,DC-01,177,24,0,153,0,3216
2023-04-17,SKU-001,DC-01,663,0,0,663,0,0
2023-04-18,SKU-001,DC-01,302,0,0,302,0,0
2023-04-19,SKU-001,DC-01,366,366,2850,0,3216,0
2023-04-20,SKU-001,DC-01,446,446,2404,0,0,0
2023-04-21,SKU-001,DC-01,265,265,2139,0,0,0
2023-04-22,SKU-001,DC-01,171,171,1968,0,0,0
2023-04-23,SKU-001,DC-01,89,89,1879,0,0,0
2023-04-24,SKU-001,DC-01,309,309,1570,0,0,0
2023-04-25,SKU-001,DC-01,114,114,1456,0,0,0
2023-04-26,SKU-001,DC-01,305,305,1151,0,0,0
2023-04-27,SKU-001,DC-01,144,144,1007,0,0,0
2023-04-28,SKU-001,DC-01,461,461,546,0,0,0
2023-04-29,SKU-001,DC-01,131,131,415,0,0,0
2023-04-30,SKU-001,DC-01,147,147,268,0,0,2948
2023-05-01,SKU-001,DC-01,141,141,127,0,0,0
2023-05-02,SKU-001,DC-01,132,127,0,5,0,0
2023-05-03,SKU-001,DC-01,260,260,2688,0,2948,0
2023-05-04,SKU-001,DC-01,228,228,2460,0,0,0
2023-05-05,SKU-001,DC-01,409,409,2051,0,0,0
