batch_id,product_id,plant_id,production_date,expiry_date,quantity_produced,qc_pass
BATCH-000001,SKU-001,PLANT-A,2022-12-12,2024-12-11,77009,True
BATCH-000002,SKU-001,PLANT-A,2023-01-06,2025-01-05,90506,True
BATCH-000003,SKU-001,PLANT-A,2023-01-31,2025-01-30,95398,True
BATCH-000004,SKU-001,PLANT-A,2023-02-27,2025-02-26,80038,True
BATCH-000005,SKU-001,PLANT-A,2023-03-24,2025-03-23,72566,True
BATCH-000006,SKU-001,PLANT-A,2023-04-19,2025-04-18,96008,True
BATCH-000007,SKU-001,PLANT-A,2023-05-12,2025-05-11,84310,True
BATCH-000008,SKU-001,PLANT-A,2023-06-07,2025-06-06,82390,True
BATCH-000009,SKU-001,PLANT-A,2023-07-03,2025-07-02,72946,True
BATCH-000010,SKU-001,PLANT-A,2023-07-28,2025-07-27,86341,True
BATCH-000011,SKU-001,PLANT-A,2023-08-21,2025-08-20,75962,True
BATCH-000012,SKU-001,PLANT-A,2023-09-13,2025-09-12,79932,True
BATCH-000013,SKU-001,PLANT-A,2023-10-09,2025-10-08,79685,True
BATCH-000014,SKU-001,PLANT-A,2023-11-03,2025-11-02,86499,True
BATCH-000015,SKU-001,PLANT-A,2023-11-27,2025-11-26,91049,True
BATCH-000016,SKU-001,PLANT-A,2023-12-25,2025-12-24,90005,True
BATCH-000017,SKU-001,PLANT-A,2024-01-17,2026-01-16,90183,True
BATCH-000018,SKU-001,PLANT-A,2024-02-13,2026-02-12,96181,True
BATCH-000019,SKU-001,PLANT-A,2024-03-11,2026-03-11,92197,True
BATCH-000020,SKU-001,PLANT-A,2024-04-05,2026-04-05,88169,True
BATCH-000021,SKU-001,PLANT-A,2024-04-29,2026-04-29,76178,True
BATCH-000022,SKU-001,PLANT-A,2024-05-27,2026-05-27,78785,True
BATCH-000023,SKU-001,PLANT-A,2024-06-24,2026-06-24,90024,True
BATCH-000024,SKU-001,PLANT-A,2024-07-18,2026-07-18,90269,True
BATCH-000025,SKU-001,PLANT-A,2024-08-12,2026-08-12,80560,True
BATCH-000026,SKU-001,PLANT-A,2024-09-09,2026-09-09,84880,True
BATCH-000027,SKU-001,PLANT-A,2024-10-07,2026-10-07,76397,True
BATCH-000028,SKU-001,PLANT-A,2024-10-31,2026-10-31,80803,True
BATCH-000029,SKU-001,PLANT-A,2024-11-26,2026-11-26,86653,True
BATCH-000030,SKU-001,PLANT-A,2024-12-23,2026-12-23,94010,True
BATCH-000031,SKU-002,PLANT-A,2022-12-27,2024-12-26,43213,True
BATCH-000032,SKU-002,PLANT-A,2023-01-13,2025-01-12,47041,True
BATCH-000033,SKU-002,PLANT-A,2023-01-31,2025-01-30,50606,True
BATCH-000034,SKU-002,PLANT-A,2023-02-17,2025-02-16,48006,True
BATCH-000035,SKU-002,PLANT-A,2023-03-06,2025-03-05,46177,True
BATCH-000036,SKU-002,PLANT-A,2023-03-21,2025-03-20,45186,True
BATCH-000037,SKU-002,PLANT-A,2023-04-10,2025-04-09,48113,True
BATCH-000038,SKU-002,PLANT-A,2023-04-25,2025-04-24,48426,True
BATCH-000039,SKU-002,PLANT-A,2023-05-15,2025-05-14,51628,True
BATCH-000040,SKU-002,PLANT-A,2023-06-05,2025-06-04,45828,True
BATCH-000041,SKU-002,PLANT-A,2023-06-23,2025-06-22,51329,True
BATCH-000042,SKU-002,PLANT-A,2023-07-10,2025-07-09,42159,True
BATCH-000043,SKU-002,PLANT-A,2023-07-31,2025-07-30,49738,True
BATCH-000044,SKU-002,PLANT-A,2023-08-21,2025-08-20,39029,True
BATCH-000045,SKU-002,PLANT-A,2023-09-06,2025-09-05,41362,True
BATCH-000046,SKU-002,PLANT-A,2023-09-25,2025-09-24,49328,True
BATCH-000047,SKU-002,PLANT-A,2023-10-12,2025-10-11,40342,True
BATCH-000048,SKU-002,PLANT-A,2023-10-31,2025-10-30,49684,True
BATCH-000049,SKU-002,PLANT-A,2023-11-15,2025-11-14,39332,True
BATCH-000050,SKU-002,PLANT-A,2023-12-04,2025-12-03,46710,True
BATCH-000051,SKU-002,PLANT-A,2023-12-20,2025-12-19,42229,True
BATCH-000052,SKU-002,PLANT-A,2024-01-08,2026-01-07,42141,True
BATCH-000053,SKU-002,PLANT-A,2024-01-24,2026-01-23,46624,True
BATCH-000054,SKU-002,PLANT-A,2024-02-12,2026-02-11,39443,True
BATCH-000055,SKU-002,PLANT-A,2024-02-28,2026-02-27,46421,True
BATCH-000056,SKU-002,PLANT-A,2024-03-18,2026-03-18,41636,True
BATCH-000057,SKU-002,PLANT-A,2024-04-04,2026-04-04,50678,True
BATCH-000058,SKU-002,PLANT-A,2024-04-22,2026-04-22,47385,True
BATCH-000059,SKU-002,PLANT-A,2024-05-13,2026-05-13,49210,True
BATCH-000060,SKU-002,PLANT-A,2024-05-29,2026-05-29,42758,True
BATCH-000061,SKU-002,PLANT-A,2024-06-17,2026-06-17,40192,True
BATCH-000062,SKU-002,PLANT-A,2024-07-02,2026-07-02,46149,True
BATCH-000063,SKU-002,PLANT-A,2024-07-18,2026-07-18,48386,True
BATCH-000064,SKU-002,PLANT-A,2024-08-02,2026-08-02,48722,True
BATCH-000065,SKU-002,PLANT-A,2024-08-21,2026-08-21,45715,True
BATCH-000066,SKU-002,PLANT-A,2024-09-09,2026-09-09,44430,True
BATCH-000067,SKU-002,PLANT-A,2024-09-30,2026-09-30,43371,True
BATCH-000068,SKU-002,PLANT-A,2024-10-17,2026-10-17,41291,True
BATCH-000069,SKU-002,PLANT-A,2024-11-05,2026-11-05,50320,True
BATCH-000070,SKU-002,PLANT-A,2024-11-20,2026-11-20,40137,True
BATCH-000071,SKU-002,PLANT-A,2024-12-09,2026-12-09,42014,True
BATCH-000072,SKU-002,PLANT-A,2024-12-26,2026-12-26,40930,True
BATCH-000073,SKU-003,PLANT-A,2022-12-19,2024-12-18,21210,True
BATCH-000074,SKU-003,PLANT-A,2023-01-09,2025-01-08,22070,True
BATCH-000075,SKU-003,PLANT-A,2023-01-26,2025-01-25,18809,True
BATCH-000076,SKU-003,PLANT-A,2023-02-15,2025-02-14,18175,True
BATCH-000077,SKU-003,PLANT-A,2023-03-08,2025-03-07,20053,True
BATCH-000078,SKU-003,PLANT-A,2023-03-27,2025-03-26,19881,True
BATCH-000079,SKU-003,PLANT-A,2023-04-17,2025-04-16,19999,True
BATCH-000080,SKU-003,PLANT-A,2023-05-05,2025-05-04,18536,True
BATCH-000081,SKU-003,PLANT-A,2023-05-26,2025-05-25,23597,True
BATCH-000082,SKU-003,PLANT-A,2023-06-16,2025-06-15,19134,True
BATCH-000083,SKU-003,PLANT-A,2023-07-05,2025-07-04,19938,True
BATCH-000084,SKU-003,PLANT-A,2023-07-25,2025-07-24,20253,True
BATCH-000085,SKU-003,PLANT-A,2023-08-14,2025-08-13,21052,True
BATCH-000086,SKU-003,PLANT-A,2023-08-31,2025-08-30,18862,True
BATCH-000087,SKU-003,PLANT-A,2023-09-21,2025-09-20,23253,True
BATCH-000088,SKU-003,PLANT-A,2023-10-11,2025-10-10,18129,True
BATCH-000089,SKU-003,PLANT-A,2023-10-31,2025-10-30,21123,True
BATCH-000090,SKU-003,PLANT-A,2023-11-21,2025-11-20,21661,True
BATCH-000091,SKU-003,PLANT-A,2023-12-11,2025-12-10,17552,True
BATCH-000092,SKU-003,PLANT-A,2023-12-28,2025-12-27,20186,True
BATCH-000093,SKU-003,PLANT-A,2024-01-16,2026-01-15,21574,True
BATCH-000094,SKU-003,PLANT-A,2024-02-06,2026-02-05,21970,True
BATCH-000095,SKU-003,PLANT-A,2024-02-26,2026-02-25,23380,True
BATCH-000096,SKU-003,PLANT-A,2024-03-18,2026-03-18,19747,True
BATCH-000097,SKU-003,PLANT-A,2024-04-08,2026-04-08,18895,True
BATCH-000098,SKU-003,PLANT-A,2024-04-25,2026-04-25,20876,True
BATCH-000099,SKU-003,PLANT-A,2024-05-14,2026-05-14,22473,True
BATCH-000100,SKU-003,PLANT-A,2024-06-04,2026-06-04,19696,True
BATCH-000101,SKU-003,PLANT-A,2024-06-21,2026-06-21,17583,True
BATCH-000102,SKU-003,PLANT-A,2024-07-11,2026-07-11,23536,True
BATCH-000103,SKU-003,PLANT-A,2024-08-01,2026-08-01,21353,True
BATCH-000104,SKU-003,PLANT-A,2024-08-22,2026-08-22,23318,True
BATCH-000105,SKU-003,PLANT-A,2024-09-11,2026-09-11,19208,True
BATCH-000106,SKU-003,PLANT-A,2024-10-02,2026-10-02,23083,True
BATCH-000107,SKU-003,PLANT-A,2024-10-21,2026-10-21,17681,True
BATCH-000108,SKU-003,PLANT-A,2024-11-11,2026-11-11,20606,True
BATCH-000109,SKU-003,PLANT-A,2024-11-28,2026-11-28,19016,True
BATCH-000110,SKU-003,PLANT-A,2024-12-16,2026-12-16,20873,True
BATCH-000111,SKU-004,PLANT-A,2022-12-27,2025-06-14,37269,True
BATCH-000112,SKU-004,PLANT-A,2023-01-12,2025-06-30,43310,True
BATCH-000113,SKU-004,PLANT-A,2023-01-26,2025-07-14,39570,True
BATCH-000114,SKU-004,PLANT-A,2023-02-13,2025-08-01,40495,True
BATCH-000115,SKU-004,PLANT-A,2023-02-28,2025-08-16,38569,True
BATCH-000116,SKU-004,PLANT-A,2023-03-16,2025-09-01,45611,True
BATCH-000117,SKU-004,PLANT-A,2023-03-29,2025-09-14,41810,True
BATCH-000118,SKU-004,PLANT-A,2023-04-12,2025-09-28,44876,True
BATCH-000119,SKU-004,PLANT-A,2023-05-01,2025-10-17,35672,True
BATCH-000120,SKU-004,PLANT-A,2023-05-17,2025-11-02,37344,True
BATCH-000121,SKU-004,PLANT-A,2023-06-01,2025-11-17,37741,True
BATCH-000122,SKU-004,PLANT-A,2023-06-14,2025-11-30,38356,True
BATCH-000123,SKU-004,PLANT-A,2023-06-30,2025-12-16,45227,True
BATCH-000124,SKU-004,PLANT-A,2023-07-17,2026-01-02,43936,True
BATCH-000125,SKU-004,PLANT-A,2023-08-03,2026-01-19,37666,False
BATCH-000126,SKU-004,PLANT-A,2023-08-18,2026-02-03,44837,True
BATCH-000127,SKU-004,PLANT-A,2023-09-04,2026-02-20,45930,True
BATCH-000128,SKU-004,PLANT-A,2023-09-18,2026-03-06,34764,True
BATCH-000129,SKU-004,PLANT-A,2023-10-02,2026-03-20,37529,False
BATCH-000130,SKU-004,PLANT-A,2023-10-17,2026-04-04,40163,True
BATCH-000131,SKU-004,PLANT-A,2023-11-02,2026-04-20,40760,True
BATCH-000132,SKU-004,PLANT-A,2023-11-20,2026-05-08,40610,True
BATCH-000133,SKU-004,PLANT-A,2023-12-05,2026-05-23,39065,True
BATCH-000134,SKU-004,PLANT-A,2023-12-21,2026-06-08,36160,True
BATCH-000135,SKU-004,PLANT-A,2024-01-05,2026-06-23,35251,True
BATCH-000136,SKU-004,PLANT-A,2024-01-22,2026-07-10,35456,True
BATCH-000137,SKU-004,PLANT-A,2024-02-05,2026-07-24,38841,True
BATCH-000138,SKU-004,PLANT-A,2024-02-22,2026-08-10,39376,True
BATCH-000139,SKU-004,PLANT-A,2024-03-11,2026-08-28,38362,True
BATCH-000140,SKU-004,PLANT-A,2024-03-25,2026-09-11,40660,True
BATCH-000141,SKU-004,PLANT-A,2024-04-09,2026-09-26,39211,False
BATCH-000142,SKU-004,PLANT-A,2024-04-22,2026-10-09,36677,True
BATCH-000143,SKU-004,PLANT-A,2024-05-06,2026-10-23,43605,True
BATCH-000144,SKU-004,PLANT-A,2024-05-22,2026-11-08,40729,True
BATCH-000145,SKU-004,PLANT-A,2024-06-05,2026-11-22,38485,True
BATCH-000146,SKU-004,PLANT-A,2024-06-18,2026-12-05,37528,True
BATCH-000147,SKU-004,PLANT-A,2024-07-01,2026-12-18,42794,True
BATCH-000148,SKU-004,PLANT-A,2024-07-15,2027-01-01,46453,True
BATCH-000149,SKU-004,PLANT-A,2024-07-29,2027-01-15,42074,True
BATCH-000150,SKU-004,PLANT-A,2024-08-15,2027-02-01,34911,True
BATCH-000151,SKU-004,PLANT-A,2024-08-28,2027-02-14,39009,True
