po_id,material_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,unit_cost,on_time,delay_days
PO-000001,MAT-EXC-02,SUP-05,2023-01-15,2023-01-25,2023-01-25,113927.8,0.0197,True,0
PO-000002,MAT-PKG-04,SUP-06,2023-01-15,2023-01-23,2023-01-23,34558.4,0.031,True,0
PO-000003,MAT-EXC-01,SUP-05,2023-01-22,2023-02-01,2023-02-01,67826.0,0.0079,True,0
PO-000004,MAT-EXC-05,SUP-05,2023-01-22,2023-02-01,2023-02-01,102757.5,0.0151,True,0
PO-000005,MAT-PKG-01,SUP-06,2023-01-22,2023-01-30,2023-01-30,1384713.8,0.0596,True,0
PO-000006,MAT-API-003,SUP-03,2023-01-29,2023-02-28,2023-02-28,726.0,0.193,True,0
PO-000007,MAT-EXC-03,SUP-08,2023-01-29,2023-02-16,2023-02-16,292105.2,0.0131,True,0
PO-000008,MAT-EXC-04,SUP-08,2023-01-29,2023-02-16,2023-02-16,208178.9,0.0145,True,0
PO-000009,MAT-PKG-02,SUP-06,2023-01-29,2023-02-06,2023-02-06,46104.3,0.0161,True,0
PO-000010,MAT-API-007,SUP-03,2023-02-05,2023-03-07,2023-03-07,498.6,0.545,True,0
PO-000011,MAT-API-011,SUP-03,2023-02-05,2023-03-07,2023-03-07,2098.7,0.115,True,0
PO-000012,MAT-API-015,SUP-03,2023-02-05,2023-03-07,2023-03-07,1723.8,0.076,True,0
PO-000013,MAT-API-019,SUP-03,2023-02-05,2023-03-07,2023-03-07,429.9,3.947,True,0
PO-000014,MAT-API-039,SUP-03,2023-02-05,2023-03-07,2023-03-07,589.7,0.438,True,0
PO-000015,MAT-EXC-02,SUP-05,2023-02-05,2023-02-15,2023-02-15,147953.1,0.0197,True,0
PO-000016,MAT-PKG-01,SUP-06,2023-02-05,2023-02-13,2023-02-13,1019306.2,0.0596,True,0
PO-000017,MAT-PKG-03,SUP-07,2023-02-05,2023-02-19,2023-02-19,90142.5,0.0153,True,0
PO-000018,MAT-PKG-04,SUP-06,2023-02-05,2023-02-13,2023-02-13,48227.5,0.031,True,0
PO-000019,MAT-API-023,SUP-03,2023-02-12,2023-03-14,2023-03-25,685.3,2.346,False,11
PO-000020,MAT-API-026,SUP-02,2023-02-12,2023-04-01,2023-04-01,519.1,0.155,True,0
PO-000021,MAT-API-035,SUP-03,2023-02-12,2023-03-14,2023-03-23,1406.0,0.165,False,9
PO-000022,MAT-EXC-05,SUP-05,2023-02-12,2023-02-22,2023-02-22,109203.9,0.0151,True,0
PO-000023,MAT-API-002,SUP-02,2023-02-19,2023-04-08,2023-04-28,3017.9,0.134,False,20
PO-000024,MAT-API-006,SUP-02,2023-02-19,2023-04-08,2023-04-15,1434.1,0.243,False,7
PO-000025,MAT-API-016,SUP-04,2023-02-19,2023-04-20,2023-04-20,1697.6,0.22,True,0
PO-000026,MAT-API-031,SUP-03,2023-02-19,2023-03-21,2023-03-21,3823.5,0.15,True,0
PO-000027,MAT-API-032,SUP-04,2023-02-19,2023-04-20,2023-04-20,1508.4,0.111,True,0
PO-000028,MAT-API-042,SUP-02,2023-02-19,2023-04-08,2023-04-08,496.1,17.503,True,0
PO-000029,MAT-EXC-01,SUP-05,2023-02-19,2023-03-01,2023-03-01,74769.2,0.0079,True,0
PO-000030,MAT-API-014,SUP-02,2023-02-26,2023-04-15,2023-04-21,1900.7,0.09,False,6
PO-000031,MAT-API-022,SUP-02,2023-02-26,2023-04-15,2023-04-15,1261.8,0.522,True,0
PO-000032,MAT-API-033,SUP-01,2023-02-26,2023-04-22,2023-04-22,1472.2,0.087,True,0
PO-000033,MAT-API-034,SUP-02,2023-02-26,2023-04-15,2023-04-15,2024.4,0.147,True,0
PO-000034,MAT-API-037,SUP-01,2023-02-26,2023-04-22,2023-04-22,578.9,0.142,True,0
PO-000035,MAT-API-038,SUP-02,2023-02-26,2023-04-15,2023-04-15,979.6,1.129,True,0
PO-000036,MAT-API-040,SUP-04,2023-02-26,2023-04-27,2023-04-27,768.6,0.164,True,0
PO-000037,MAT-EXC-02,SUP-05,2023-02-26,2023-03-08,2023-03-08,131787.5,0.0197,True,0
PO-000038,MAT-EXC-03,SUP-08,2023-02-26,2023-03-16,2023-03-16,335368.8,0.0131,True,0
PO-000039,MAT-EXC-04,SUP-08,2023-02-26,2023-03-16,2023-03-16,217771.4,0.0145,True,0
PO-000040,MAT-EXC-05,SUP-05,2023-02-26,2023-03-08,2023-03-08,117907.4,0.0151,True,0
PO-000041,MAT-PKG-01,SUP-06,2023-02-26,2023-03-06,2023-03-06,1353466.1,0.0596,True,0
PO-000042,MAT-PKG-02,SUP-06,2023-02-26,2023-03-06,2023-03-06,47708.0,0.0161,True,0
PO-000043,MAT-PKG-04,SUP-06,2023-02-26,2023-03-06,2023-03-06,46405.0,0.031,True,0
PO-000044,MAT-API-001,SUP-01,2023-03-05,2023-04-29,2023-04-29,2725.9,0.095,True,0
PO-000045,MAT-API-009,SUP-01,2023-03-05,2023-04-29,2023-04-29,731.7,0.28,True,0
PO-000046,MAT-API-018,SUP-02,2023-03-05,2023-04-22,2023-04-22,1583.0,0.886,True,0
PO-000047,MAT-API-020,SUP-04,2023-03-05,2023-05-04,2023-05-04,6011.7,0.063,True,0
PO-000048,MAT-API-021,SUP-01,2023-03-05,2023-04-29,2023-04-29,4406.3,0.093,True,0
PO-000049,MAT-API-025,SUP-01,2023-03-05,2023-04-29,2023-04-29,2154.0,0.156,True,0
PO-000050,MAT-API-027,SUP-03,2023-03-05,2023-04-04,2023-04-13,375.5,0.084,False,9
PO-000051,MAT-API-036,SUP-04,2023-03-05,2023-05-04,2023-05-04,1079.3,0.107,True,0
PO-000052,MAT-API-005,SUP-01,2023-03-12,2023-05-06,2023-05-06,1120.2,0.203,True,0
PO-000053,MAT-API-008,SUP-04,2023-03-12,2023-05-11,2023-05-11,1088.0,2.983,True,0
PO-000054,MAT-API-010,SUP-02,2023-03-12,2023-04-29,2023-04-29,4048.4,0.196,True,0
PO-000055,MAT-API-012,SUP-04,2023-03-12,2023-05-11,2023-05-11,2016.9,0.129,True,0
PO-000056,MAT-API-013,SUP-01,2023-03-12,2023-05-06,2023-05-06,1057.2,0.187,True,0
PO-000057,MAT-API-017,SUP-01,2023-03-12,2023-05-06,2023-05-06,619.9,16.675,True,0
PO-000058,MAT-API-030,SUP-02,2023-03-12,2023-04-29,2023-05-04,5266.4,0.074,False,5
PO-000059,MAT-API-041,SUP-01,2023-03-12,2023-05-06,2023-05-06,863.1,0.248,True,0
PO-000060,MAT-EXC-01,SUP-05,2023-03-12,2023-03-22,2023-03-22,54524.1,0.0079,True,0
PO-000061,MAT-PKG-03,SUP-07,2023-03-12,2023-03-26,2023-04-01,59587.6,0.0153,False,6
PO-000062,MAT-API-004,SUP-04,2023-03-19,2023-05-18,2023-05-25,3881.3,0.058,False,7
PO-000063,MAT-API-011,SUP-03,2023-03-19,2023-04-18,2023-04-18,2161.4,0.115,True,0
PO-000064,MAT-API-024,SUP-04,2023-03-19,2023-05-18,2023-05-18,2611.2,0.147,True,0
