material_id,current_stock,avg_daily_consumption,days_of_cover,material_name,material_category,supplier_id,avg_lead_time_days,at_risk
MAT-PKG-04,23289.024300000012,1878.619866666667,12.396879599342757,Cartons & Patient Leaflets,Packaging,SUP-06,8,False
MAT-PKG-01,904454.8918000001,66388.14315,13.62374136231584,PVC-Alu Blister Foil,Packaging,SUP-06,8,False
MAT-EXC-05,122580.93905555556,5979.617563333333,20.49979580754708,Talc Powder,Excipient,SUP-05,10,False
MAT-PKG-02,46148.591,1930.7365166666668,23.90206566335294,HDPE Bottles (100ct),Packaging,SUP-06,8,False
MAT-EXC-01,79237.90014666667,2735.1609,28.970105614871386,Lactose Monohydrate,Excipient,SUP-05,10,False
MAT-EXC-02,207659.1508000001,6379.1589583333325,32.5527474948288,Microcrystalline Cellulose,Excipient,SUP-05,10,False
MAT-EXC-03,406837.5725888887,11354.963075000001,35.82905289094378,Magnesium Stearate,Excipient,SUP-08,18,False
MAT-API-035,1378.8133895555552,35.08112666666667,39.30356634941471,Levothyroxine API,API,SUP-03,30,False
MAT-API-007,499.01610000000005,12.541419166666667,39.789444349832024,Azithromycin API,API,SUP-03,30,False
MAT-PKG-03,96630.0398,2085.59935,46.33202431713455,Glass Vials (2mL),Packaging,SUP-07,14,False
MAT-API-031,6013.769033333334,121.46685199999999,49.509548772477736,Multivitamin API,API,SUP-03,30,False
MAT-EXC-04,389531.33710222243,7455.619181666667,52.24667832553441,Maize Starch,Excipient,SUP-08,18,False
MAT-API-023,1007.9681,18.820467500000003,53.557017114479216,Dextromethorphan API,API,SUP-03,30,False
MAT-API-027,525.3816533333334,9.743413333333335,53.92172489859816,Loperamide API,API,SUP-03,30,False
MAT-API-015,1555.3288097777777,24.742849666666665,62.859728395517116,Metformin API,API,SUP-03,30,False
MAT-API-010,4722.774210333333,73.40093399999999,64.34215415206207,Atorvastatin API,API,SUP-02,48,False
MAT-API-022,1798.3162733333331,26.23974916666667,68.53404969350093,Montelukast API,API,SUP-02,48,False
MAT-API-003,1231.053344,17.90652,68.74888833787915,Diclofenac API,API,SUP-03,30,False
MAT-API-014,2292.2489616666653,32.992689166666665,69.47748181686813,Furosemide API,API,SUP-02,48,False
MAT-API-030,4249.031432,61.09362333333333,69.54950779096585,Vitamin API,API,SUP-02,48,False
MAT-API-039,1056.5334866666667,15.187384333333334,69.56652070414671,Clopidogrel API,API,SUP-03,30,False
MAT-API-002,4379.688158222222,59.88114533333333,73.13968585340723,Ibuprofen API,API,SUP-02,48,False
MAT-API-018,1998.2162665555556,25.913084166666668,77.11225162174883,Sitagliptin API,API,SUP-02,48,False
MAT-API-026,866.6314638888887,8.911170833333333,97.25225563482039,Domperidone API,API,SUP-02,48,False
MAT-API-020,9147.219501333333,89.85100800000001,101.80430587193115,Cetirizine API,API,SUP-04,60,False
MAT-API-038,1730.7249244444442,16.962009333333334,102.0353715431146,Hydrocortisone API,API,SUP-02,48,False
MAT-API-011,3881.426968222222,37.921230666666666,102.3549842656888,Amlodipine API,API,SUP-03,30,False
MAT-API-028,3602.454138666667,34.77998733333333,103.57836258364749,Oral API,API,SUP-04,60,False
MAT-API-029,4310.6595636111115,41.02456666666667,105.07507851663948,Vitamin API,API,SUP-01,55,False
MAT-API-019,744.2705946666667,6.927797333333334,107.43250110472823,Salbutamol API,API,SUP-03,30,False
MAT-API-004,5765.722172222223,50.594408333333334,113.95967187195205,Aspirin API,API,SUP-04,60,False
MAT-API-042,897.8951128888888,7.7853200000000005,115.331818459471,Insulin API,API,SUP-02,48,False
MAT-API-034,3984.204263111111,33.495142333333334,118.94871869662585,Levothyroxine API,API,SUP-02,48,False
MAT-API-032,3464.2163040000005,29.094066666666667,119.06951144677839,Iron API,API,SUP-04,60,False
MAT-API-040,1479.5506116666666,12.398921666666666,119.32897484498987,Metoprolol API,API,SUP-04,60,False
MAT-API-001,3719.011599999999,30.863262500000005,120.49962637618101,Paracetamol API,API,SUP-01,55,False
MAT-API-009,941.9521104999998,7.81044,120.60167039244905,Ciprofloxacin API,API,SUP-01,55,False
MAT-API-033,2073.3350695,17.1599805,120.8238592986746,Calcium API,API,SUP-01,55,False
MAT-API-041,1332.907541,10.933612666666667,121.90916046108335,Doxycycline API,API,SUP-01,55,False
MAT-API-017,1095.882667388889,8.094057833333334,135.39348123703454,Insulin API,API,SUP-01,55,False
MAT-API-037,1248.053885555555,9.201160166666664,135.6409260298413,Dexamethasone API,API,SUP-01,55,False
MAT-API-024,4555.146503999999,33.456444,136.15154389988368,Omeprazole API,API,SUP-04,60,False
MAT-API-006,3229.811647777778,23.594505,136.88829868555317,Amoxicillin API,API,SUP-02,48,False
MAT-API-025,3895.3361300000006,27.828763666666664,139.97517736175396,Famotidine API,API,SUP-01,55,False
MAT-API-013,1829.7105866666666,13.01048,140.6335958909023,Warfarin API,API,SUP-01,55,False
MAT-API-012,2785.4953108888903,19.72657866666667,141.20519112600755,Losartan API,API,SUP-04,60,False
MAT-API-021,8774.197071111113,58.890713,148.9911842485438,Loratadine API,API,SUP-01,55,False
MAT-API-005,1633.1586253333335,10.372082,157.45716485208402,Naproxen API,API,SUP-01,55,False
MAT-API-008,2105.8991385555555,12.269143000000001,171.64190999775252,Ceftriaxone API,API,SUP-04,60,False
MAT-API-016,3852.3979666666655,18.721429999999998,205.77477076626442,Gliclazide API,API,SUP-04,60,False
MAT-API-036,2503.9594019999995,10.890179999999997,229.92819237147597,Prednisolone API,API,SUP-04,60,False
