segment,MAE,RMSE,WAPE_%,MAPE_%,Bias_%,R2,n,P95_coverage_%
Network overall,19.6,63.6,3.24,7.12,1.78,0.977,7056,93.8
Analgesics,36.9,105.0,4.24,8.92,1.69,0.9614,840,
Anti-inflammatory,6.9,18.5,2.61,6.99,1.75,0.9711,504,
Antibiotics,18.7,55.1,3.12,7.39,1.77,0.9812,840,
Cardiovascular,19.3,57.7,2.91,7.01,1.96,0.9804,1176,
Diabetes,15.7,51.6,2.91,6.61,1.66,0.9861,840,
Endocrine,11.9,31.6,2.5,5.66,1.61,0.9796,336,
Gastrointestinal,11.1,30.8,2.55,6.1,1.5,0.988,840,
Respiratory,16.4,40.8,3.09,7.26,1.61,0.9769,840,
Vitamins,30.1,97.0,3.59,7.24,2.06,0.9478,840,
