date,inv_value_fg,cogs,revenue,inv_value_rm,total_inventory_value,accounts_receivable,accounts_payable,avg_inventory_w,avg_cogs_w,avg_revenue_w,avg_ar_w,avg_ap_w,DIO,DSO,DPO,CCC
2023-01-01,108679.43,6284.37,15137.42,208175.10031791983,316854.5303179198,1135306.500000001,188531.09999999992,,,,,,,,,
2023-01-02,96480.63,12198.8,29232.73,202348.19421814985,298828.8242181499,1149401.810000001,194445.5299999999,,,,,,,,,
2023-01-03,85434.89,11045.74,26664.73,191510.11849790983,276945.0084979098,1160929.120000001,199206.8999999999,,,,,,,,,
2023-01-04,74387.16,11047.73,26751.81,187206.97859134985,261594.13859134985,1172543.5100000012,203970.25999999992,,,,,,,,,
2023-01-05,62965.89,11421.27,27512.54,187206.97859134985,250172.86859134986,1184918.6300000013,209107.15999999992,,,,,,,,,
2023-01-06,51993.42,10972.47,26445.78,175461.77307393984,227455.19307393982,1196226.9900000014,213795.25999999992,,,,,,,,,
2023-01-07,45952.42,6041.0,14507.6,175461.77307393984,221414.19307393982,1195597.1700000016,213551.88999999993,,,,,,,,,
2023-01-08,39913.6,6038.82,14478.93,175461.77307393984,215375.37307393985,1194938.6800000016,213306.33999999994,,,,,,,,,
2023-01-09,30725.44,9188.16,22090.78,149705.71449688985,180431.15449688985,1201892.0400000017,216210.12999999995,,,,,,,,,
2023-01-10,22628.22,8097.22,19315.18,142540.13486387985,165168.35486387985,1206069.8000000017,218022.97999999995,241423.96387992683,9233.558,22213.75,1179782.4250000012,207014.75499999995,26.146363501472216,53.11045748691694,22.419825055520302,56.83699593286886
2023-01-11,30937.36,8611.1,20582.1,142540.13486387985,173477.49486387987,1211514.4800000018,220349.70999999996,235247.0121511953,9176.97090909091,22065.418181818182,1182667.1572727286,208227.02363636356,25.63449470218484,53.59822086885449,22.69016930522132,56.54254626581802
2023-01-12,52359.63,9876.17,23717.63,138173.84397715985,190533.47397715985,1220094.6900000018,223941.50999999998,231520.8839700257,9235.2375,22203.102499999997,1185786.1183333348,209536.5641666666,25.069293991629962,53.406325459846656,22.68881164850028,55.78680780297634
2023-01-13,47819.69,11376.13,27227.6,130507.37014053985,178327.06014053983,1232184.870000002,229033.27,227429.05136775752,9399.921538461538,22589.60230769231,1189355.2530769245,211036.3107692307,24.194781885911386,52.650561832685305,22.450858755122173,54.394484963474525
2023-01-14,52472.32,5497.7699999999995,13320.84,130507.37014053985,182979.69014053984,1230368.2900000021,228246.66999999998,224254.09699438486,9121.19642857143,21927.547857142858,1192284.7557142873,212265.6221428571,24.586039644089514,54.37382982730113,23.27168631934641,55.68818315204423
2023-01-15,47072.56,5399.76,13040.6,130507.37014053985,177579.93014053983,1228271.4700000023,227362.06,221142.48587079518,8873.100666666667,21335.08466666667,1194683.8700000015,213272.05133333328,24.92279690926477,55.9962094674291,24.03579755772709,56.883208818966764
2023-01-16,37122.11,9950.45,24079.63,114777.29684946984,151899.40684946984,1237213.6800000023,231028.14,216814.79343196235,8940.435,21506.61875,1197341.9831250017,214381.80687499995,24.251034030442852,55.67318587097758,23.978901124497852,55.945318776922576
2023-01-17,27731.19,9390.92,22746.329999999998,111074.00261650984,138805.19261650983,1244822.5900000024,234134.69000000003,212225.99338399456,8966.934117647059,21579.54294117647,1200134.9600000016,215543.74117647053,23.66762045974339,55.61447539790075,24.03761847120938,55.24447738643475
2023-01-18,34123.6,8915.85,21577.76,104174.69771883985,138298.29771883984,1251262.9300000025,236766.17000000004,208118.89918037484,8964.09611111111,21579.443888888887,1202975.4027777794,216722.76499999996,23.2169419650029,55.746357921539555,24.176756062596134,54.786543823946324
2023-01-19,40805.75,9960.61,23939.16,100165.12727655986,140970.87727655986,1260064.6700000025,240442.41000000003,204584.79276438456,9016.544210526316,21703.639473684212,1205980.1010526333,217971.167368421,22.689933968886123,55.56580049695771,24.174579781237224,54.0811546846066
2023-01-20,38733.26,10664.46,25432.55,99465.07711591985,138198.33711591986,1270359.8000000026,244822.50000000003,201265.46998196136,9098.939999999999,21890.085,1209199.0860000018,219313.734,22.119661189321107,55.23957928897954,24.10321795725656,53.25602252104409
2023-01-21,39520.27,5594.36,13286.82,99465.07711591985,138985.34711591984,1268509.2000000027,244132.49000000002,198299.7498454832,8932.055238095238,21480.405714285716,1212023.377142859,220495.5795238095,22.200909483825658,56.42460357891625,24.685872808241857,53.93964025450005
2023-01-22,35005.12,4515.15,10819.41,99465.07711591985,134470.19711591984,1264191.1900000027,242363.27000000002,195398.40653959394,8731.286818181818,20995.815,1214394.6413636382,221489.56545454543,22.379107525445285,57.83984290981981,25.36734505082584,54.85160538443926
2023-01-23,27355.25,7649.87,18275.33,98024.42193511986,125379.67193511986,1267329.100000003,243728.77000000002,192354.11373070377,8684.268695652174,20877.533043478263,1216696.1395652194,222456.4873913043,22.149719276535848,58.27777338593612,25.616029994866274,54.81146266760569
2023-01-24,21192.489999999998,6162.76,14891.15,98024.42193511986,119216.91193511986,1267082.8300000029,243607.16000000003,189306.73032255445,8579.205833333333,20628.100416666664,1218795.585000002,223337.76541666663,22.065763894721933,59.08423753916114,26.03245215879053,55.11754927509253
2023-01-25,33193.86,6276.47,15178.81,93982.23307329985,127176.09307329985,1267124.220000003,243599.26000000004,186821.50483258427,8487.0964,20410.1288,1220728.730400002,224148.2252,22.012416971319457,59.809947421791975,26.410472396660886,55.41189199645054
2023-01-26,59664.32,9416.77,22663.84,79723.31072229985,139387.63072229986,1274650.6400000032,246731.66000000003,184997.12505911177,8522.853076923077,20496.81,1222802.650000002,225016.81884615382,21.70600893731463,59.658193152983415,26.401583696828137,54.96261839346991
2023-01-27,58230.68,8875.49,21700.39,76069.08658007985,134299.76658007986,1281213.6100000031,249322.78000000003,183119.4451154439,8535.913703703704,20541.387037037035,1224966.018888891,225917.0396296296,21.45282291642534,59.63404597168744,26.46664990668837,54.6202189814244
2023-01-28,63752.57,5475.84,13261.26,76069.08658007985,139821.65658007984,1279337.4500000032,248514.25000000003,181573.0955248952,8426.625357142857,20281.3825,1226907.8557142878,226724.08285714284,21.547545764685523,60.49429104324066,26.905679705454027,55.13615710247216
2023-01-29,57819.94,5932.63,14308.78,76069.08658007985,133889.02658007987,1278508.8100000033,248162.51000000004,179928.8172854188,8340.625517241378,20075.43068965517,1228687.1989655194,227463.3389655172,21.572580727126255,61.203528729207264,27.27173621394641,55.5043732423871
2023-01-30,48052.95,9766.99,23499.2,143503.73028518984,191556.68028518982,1286870.5900000033,251645.13000000003,180316.4127187445,8388.171,20189.55633333333,1230626.6453333355,228269.39866666668,21.496511303685214,60.953624983900625,27.213250500814382,55.23688578677145
2023-01-31,39300.479999999996,8752.47,21238.89,129923.52800755984,169224.00800755984,1292972.0600000033,254113.23000000004,179958.5932119321,8399.922580645161,20223.40580645161,1232637.7877419377,229103.07064516126,21.423839503781508,60.95104848010839,27.274426454007255,55.10046152988264
2023-02-01,45347.44,10187.07,24399.41,125270.66424664985,170618.10424664983,1302234.0500000033,252101.50000000006,179666.70293176704,8455.7709375,20353.9059375,1234812.6709375023,229821.77156249998,21.247820483756694,60.66711100705667,27.17928066656548,54.735650824247884
2023-02-02,47788.31,10848.57,26056.0,110441.15689604986,158229.46689604985,1313152.6300000034,251904.33000000007,179017.08971856348,8528.279999999999,20526.696666666667,1237186.6090909115,230490.93999999997,20.990995806723454,60.272075394380465,27.026661882583593,54.236409318520316
2023-02-03,43971.56,10889.33,26100.03,106650.59186494985,150622.15186494985,1324115.2400000035,251745.93000000008,178181.94448757483,8597.722647058823,20690.618235294118,1239743.3335294141,231116.0867647059,20.72431872974278,59.91813871538436,26.881081915775443,53.761375529351696
2023-02-04,41706.03,6071.8099999999995,14475.460000000001,106650.59186494985,148356.62186494985,1323453.2800000035,246396.4700000001,177329.7924126427,8525.553714285714,20513.042285714284,1242135.0462857166,231552.66914285714,20.799797685340103,60.553428837358055,27.15983933745669,54.19338718524146
2023-02-05,36502.92,5203.11,12472.16,106650.59186494985,143153.51186494983,1320788.0200000035,240627.11000000007,176380.4512863179,8433.263611111111,20289.684444444443,1244319.8511111136,231804.73694444445,20.914850930774968,61.32770839872885,27.48695494814532,54.755604381358495
2023-02-06,28065.71,8437.21,20214.14,98380.53518510985,126446.24518510984,1325864.7400000035,243023.32000000007,175030.87814844743,8433.37027027027,20287.642702702702,1246523.7670270295,232107.94189189188,20.754558680469046,61.442513814627105,27.522560311401264,54.67451218369489
2023-02-07,20665.16,7400.55,17652.22,95154.30332967985,115819.46332967986,1328379.5400000035,244385.05000000005,173472.68302163773,8406.190789473685,20218.28947368421,1248677.8663157918,232431.02368421052,20.63630095558406,61.75981741388411,27.649981960350335,54.74613640911784
2023-02-08,28285.89,7713.3,18512.35,92292.12119863986,120578.01119863986,1331754.4700000037,242910.19000000003,172116.40938515062,8388.424358974358,20174.547435897435,1250808.035641028,232699.72025641025,20.518324064162517,61.99931074614402,27.740575619240865,54.77705919106567
2023-02-09,52837.97,9252.46,22304.07,87663.71028748986,140501.68028748984,1338921.1200000038,244065.43000000002,171326.04115770909,8410.02525,20227.7855,1253010.8627500026,232983.86299999998,20.371644087240888,61.945034109146675,27.703110998388496,54.61356719799906
2023-02-10,52988.28,8897.66,21632.61,83729.07261206985,136717.35261206987,1345416.310000004,244351.99000000002,170481.9268029374,8421.918780487804,20262.049512195124,1255264.654146344,233261.1343902439,20.24264674671476,61.951514499598744,27.696910938000432,54.497250308313085
2023-02-11,60495.03,5994.0,14349.65,83729.07261206985,144224.10261206987,1344628.540000004,240469.82,169856.74051267866,8364.11119047619,20121.278095238096,1257392.3657142883,233432.76976190475,20.307805174336558,62.490680749145,27.90885539968711,54.88963052379445
2023-02-12,54997.54,5497.49,13210.56,83729.07261206985,138726.61261206985,1342701.6800000041,234591.18,169132.7840498738,8297.445581395348,19960.563720930233,1259376.3032558165,233459.7095348837,20.38371718027362,63.093223260787,28.136335122022423,55.3406053190382
2023-02-13,44341.31,10656.23,25423.19,134176.19807564985,178517.50807564985,1352987.4500000041,239749.64,169346.0732322778,8351.05431818182,20084.71431818182,1261503.8293181844,233602.6625,20.278406387990973,62.80914975107212,27.972834758289498,55.1147213807736
2023-02-14,35684.86,8656.45,20902.24,129878.85301565984,165563.71301565983,1358752.2700000042,243006.33000000002,169262.02078301963,8357.840888888888,20102.881555555556,1263664.9057777806,233811.6328888889,20.251883594486774,62.8598891301013,27.975123718821166,55.13664900576691
2023-02-15,42523.83,9351.72,22412.85,128275.06431980983,170798.89431980983,1366027.7000000044,242407.6,169295.4310772977,8379.446956521739,20153.098260869567,1265890.1839130463,233998.50173913044,20.20365209729441,62.813675968174714,27.92529184244182,55.09203622302729
2023-02-16,47775.53,9647.38,23290.82,122953.46044608983,170728.99044608983,1374181.1000000045,242664.06,169325.93234046348,8406.424255319149,20219.85829787234,1268194.2459574495,234182.87531914894,20.142444301847224,62.7202341022784,27.85760844403852,55.0050699600871
